atlas_block,checklists_total,checklists_Atlas1,checklists_Atlas2,checklists_diff,sr_total,sr_Atlas1,sr_Atlas2,sr_diff
4308866SE,675,11,664,653,187,13,186,173
4308867CE,55,2,53,51,80,52,76,24
4308867NW,5,1,4,3,12,1,11,10
4308868CE,49,6,43,37,80,59,73,14
4308868NW,7,1,6,5,34,1,33,32
4308868SW,14,1,13,12,70,1,69,68
4308871CE,88,10,78,68,118,99,87,-12
4308871NE,23,1,22,21,73,2,71,69
4308871SW,38,7,31,24,88,33,85,52
4308872CE,77,18,59,41,108,81,98,17
4308872NE,11,7,4,-3,24,8,17,9
4308872NW,16,1,15,14,43,1,43,42
4308872SW,31,4,27,23,86,41,80,39
4308873CE,84,1,83,82,83,47,82,35
4308873CW,24,1,23,22,45,1,45,44
4308874CE,70,13,57,44,103,46,102,56
4308874CW,15,1,14,13,77,1,77,76
4308874NW,48,1,47,46,80,2,79,77
4308874SE,50,30,20,-10,70,48,52,4
4308875CE,68,18,50,32,100,67,92,25
4308875CW,13,2,11,9,92,3,90,87
4308876CE,46,4,42,38,85,47,79,32
4308876NE,4,1,3,2,10,1,9,8
4308876NW,96,83,13,-70,105,85,52,-33
4308877CE,32,2,30,28,84,54,79,25
4308877NW,42,27,15,-12,79,71,42,-29
